Compartment,p_Tumor_vs_Blood,p_Tumor_vs_Normal
All T cells,4.2095368686076035e-274,1.16830517645226e-46
CD8,6.309152026370293e-99,1.4498859611731206e-24
CD4 helper,1.1579248918715736e-65,2.308122281522554e-09
Treg,6.723286094929435e-57,0.019088190990498473
CD4 other,8.087642648988284e-49,2.9413808845925435e-08
